location,level,month,species,Hg [Mg],time
Pinatubo,45,1,Hg0,100.12610626220703,36
Pinatubo,45,1,Hg0,100.12616729736328,38
Pinatubo,45,1,Hg0,100.12621307373047,40
Pinatubo,45,1,Hg0,100.12629699707031,42
Pinatubo,45,1,Hg0,100.12635803222656,44
Pinatubo,45,1,Hg0,100.12640380859375,46
Pinatubo,45,1,Hg0,100.12647247314453,48
Pinatubo,45,1,Hg0,100.12649536132812,50
Pinatubo,45,1,Hg0,100.1265869140625,52
Pinatubo,45,1,Hg0,100.12666320800781,54
Pinatubo,45,1,Hg0,100.12672424316406,56
Pinatubo,45,1,Hg0,100.12681579589844,58
Pinatubo,45,1,Hg0,100.12686920166016,60
Pinatubo,45,1,Hg0,100.12692260742188,62
Pinatubo,45,1,Hg0,100.12702941894531,64
Pinatubo,45,1,Hg0,100.12710571289062,66
Pinatubo,45,1,Hg0,100.1271743774414,68
Pinatubo,45,1,Hg0,100.12722778320312,70
Pinatubo,45,1,Hg0,100.1273193359375,72
Pinatubo,45,1,Hg0,100.1274185180664,74
Pinatubo,45,1,Hg0,100.12748718261719,76
Pinatubo,45,1,Hg0,100.12755584716797,78
Pinatubo,45,1,Hg0,100.12763214111328,80
Pinatubo,45,1,Hg0,100.12773895263672,82
Pinatubo,45,1,Hg0,100.12779998779297,84
Pinatubo,45,1,Hg0,100.1279067993164,86
Pinatubo,45,1,Hg0,100.12799835205078,88
Pinatubo,45,1,Hg0,100.12808227539062,90
Pinatubo,45,1,Hg0,100.128173828125,92
Pinatubo,45,1,Hg0,100.12825775146484,94
Pinatubo,45,1,Hg0,100.12833404541016,96
Pinatubo,45,1,Hg0,100.12842559814453,98
Pinatubo,45,1,Hg0,100.12854766845703,100
Pinatubo,45,1,Hg0,100.12862396240234,102
Pinatubo,45,1,Hg0,100.12873840332031,104
Pinatubo,45,1,Hg0,100.12883758544922,106
Pinatubo,45,1,Hg0,100.12896728515625,108
Pinatubo,45,1,Hg0,100.12905883789062,110
Pinatubo,45,1,Hg0,100.12919616699219,112
Pinatubo,45,1,Hg0,100.12930297851562,114
Pinatubo,45,1,Hg0,100.12943267822266,116
Pinatubo,45,1,Hg0,100.12957000732422,118
Pinatubo,45,1,Hg0,100.12967681884766,120
Pinatubo,45,1,Hg0,100.12979888916016,122
Pinatubo,45,1,Hg0,100.12995910644531,124
Pinatubo,45,1,Hg0,100.13005065917969,126
Pinatubo,45,1,Hg0,100.1302490234375,128
Pinatubo,45,1,Hg0,100.13040924072266,130
Pinatubo,45,1,Hg0,100.13056945800781,132
Pinatubo,45,1,Hg0,100.13075256347656,134
Pinatubo,45,1,Hg0,100.13092803955078,136
Pinatubo,45,1,Hg0,100.13111114501953,138
Pinatubo,45,1,Hg0,100.13131713867188,140
Pinatubo,45,1,Hg0,100.13152313232422,142
Pinatubo,45,1,Hg0,100.13177490234375,144
Pinatubo,45,1,Hg0,100.1319808959961,146
Pinatubo,45,1,Hg0,100.13220977783203,148
Pinatubo,45,1,Hg0,100.13245391845703,150
Pinatubo,45,1,Hg0,100.13268280029297,152
Pinatubo,45,1,Hg0,100.1329574584961,154
Pinatubo,45,1,Hg0,100.1332015991211,156
Pinatubo,45,1,Hg0,100.13349151611328,158
Pinatubo,45,1,Hg0,100.13377380371094,160
Pinatubo,45,1,Hg0,100.13407135009766,162
Pinatubo,45,1,Hg0,100.1343765258789,164
Pinatubo,45,1,Hg0,100.13468933105469,166
Pinatubo,45,1,Hg0,100.13502502441406,168
Pinatubo,45,1,Hg0,100.13536071777344,170
Pinatubo,45,1,Hg0,100.13566589355469,172
Pinatubo,45,1,Hg0,100.135986328125,174
Pinatubo,45,1,Hg0,100.13631439208984,176
Pinatubo,45,1,Hg0,100.13660430908203,178
Pinatubo,D,1,Hg0,96.54533386230469,2
